Date,TSLA,SPX_TR
16/3/18,-0.01289079,0.001736312
19/3/18,-0.024165497,-0.014196286
20/3/18,-0.009567882,0.001498935
21/3/18,0.019068064,-0.001736648
22/3/18,-0.023420074,-0.025124409
23/3/18,-0.024298947,-0.020955236
26/3/18,0.008648157,0.027157969
27/3/18,-0.082065498,-0.017274088
28/3/18,-0.076761008,-0.00274842
29/3/18,0.032253157,0.013817183
2/4/18,-0.051068534,-0.02232692
3/4/18,0.059408247,0.01265569
4/4/18,0.072863217,0.011638537
5/4/18,0.065045094,0.007008045
6/4/18,-0.019758789,-0.021900653
9/4/18,-0.032918848,0.003634337
10/4/18,0.051363606,0.016757899
11/4/18,-0.01203656,-0.005480712
12/4/18,-0.02293309,0.008371288
13/4/18,0.021070881,-0.002866795
16/4/18,-0.030105139,0.008135594
17/4/18,-0.012254242,0.010660139
18/4/18,0.019836401,0.000832974
19/4/18,0.023059956,-0.005603818
20/4/18,-0.033058931,-0.008487524
23/4/18,-0.023445946,5.56E-05
24/4/18,0.000553518,-0.013356501
25/4/18,-0.009957818,0.001836933
26/4/18,0.016833135,0.010437035
27/4/18,0.030155241,0.001171125
30/4/18,-0.00073348,-0.008154334
1/5/18,0.019084479,0.002554787
2/5/18,0.005762179,-0.007207185
3/5/18,-0.055664063,-0.002144712
4/5/18,0.033505688,0.012991489
7/5/18,0.029884597,0.003477238
8/5/18,-0.00252607,-0.000255824
9/5/18,0.015909091,0.00979935
10/5/18,-0.006072228,0.009599686
11/5/18,-0.012604502,0.002055606
14/5/18,-0.030415527,0.000928746
15/5/18,-0.026398871,-0.006796696
16/5/18,0.008072306,0.004338003
17/5/18,-0.007049483,-0.000567489
18/5/18,-0.026812793,-0.002550237
21/5/18,0.0274807,0.007416341
22/5/18,-0.033087475,-0.003118057
23/5/18,0.014543381,0.003276501
24/5/18,-0.004497224,-0.001986112
25/5/18,0.003952848,-0.002241084
29/5/18,0.016803769,-0.011522215
30/5/18,0.028834186,0.012877131
31/5/18,-0.024127966,-0.006661566
1/6/18,0.024793388,0.010942079
4/6/18,0.01686828,0.00450334
5/6/18,-0.018835503,0.000763026
6/6/18,0.09713054,0.008597678
7/6/18,-0.010498527,-0.000534349
8/6/18,0.005398027,0.003164801
11/6/18,0.045235744,0.001074766
12/6/18,0.031941902,0.001786893
13/6/18,0.005721478,-0.003989015
14/6/18,0.03783138,0.002778037
15/6/18,0.001151126,-0.000913607
18/6/18,0.03542488,-0.002110309
19/6/18,-0.049124848,-0.003976393
20/6/18,0.026582138,0.00171076
21/6/18,-0.040032503,-0.006248224
22/6/18,-0.039896168,0.001889538
25/6/18,-0.001528153,-0.013722679
26/6/18,0.026665882,0.002203089
27/6/18,0.007396365,-0.008605275
28/6/18,0.015822425,0.006313603
29/6/18,-0.020450471,0.000822125
2/7/18,-0.022536178,0.003113656
3/7/18,-0.072210194,-0.004948021
5/7/18,-0.005802586,0.008864344
6/7/18,-0.000761276,0.008551783
9/7/18,0.030791696,0.009114881
10/7/18,0.012749446,0.003493382
11/7/18,-0.010886091,-0.007094583
12/7/18,-0.006886375,0.008849525
13/7/18,0.00674839,0.001082471
16/7/18,-0.027366091,-0.000979539
17/7/18,0.040465352,0.003987953
18/7/18,0.004253768,0.002159772
19/7/18,-0.011678567,-0.003848476
20/7/18,-0.020877977,-0.000907345
23/7/18,-0.033204102,0.001839755
24/7/18,-0.018950909,0.004830533
25/7/18,0.037908755,0.009108666
26/7/18,-0.007685956,-0.003031388
27/7/18,-0.029573678,-0.006560279
30/7/18,-0.023878628,-0.005671867
31/7/18,0.02743614,0.004914934
1/8/18,0.009997369,-0.001038014
2/8/18,0.16032821,0.005030054
3/8/18,-0.003311258,0.004779395
6/8/18,-0.017906414,0.00363316
7/8/18,0.109856086,0.002833456
8/8/18,-0.024435605,-0.000232288
9/8/18,-0.048453717,-0.001182504
10/8/18,0.008959875,-0.006814809
13/8/18,0.002537231,-0.00398957
14/8/18,-0.024647887,0.006476814
15/8/18,-0.025609206,-0.007418
16/8/18,-0.00978349,0.008219546
17/8/18,-0.089272143,0.003405417
20/8/18,0.009693157,0.002466042
21/8/18,0.04355013,0.002103945
22/8/18,-0.000913854,-0.000368865
23/8/18,-0.004451491,-0.00163047
24/8/18,0.008391523,0.006209485
27/8/18,-0.010508413,0.007784965
28/8/18,-0.023511357,0.000277602
29/8/18,-0.022505815,0.005787776
30/8/18,-0.005788154,-0.004266705
31/8/18,-0.004786856,0.000236214
4/9/18,-0.042053949,-0.001560757
5/9/18,-0.028701316,-0.002795963
6/9/18,0.000908138,-0.003357482
7/9/18,-0.063093244,-0.002131958
10/9/18,0.084401073,0.001896592
11/9/18,-0.02108951,0.00380732
12/9/18,0.039649123,0.000366688
13/9/18,-0.003847452,0.005547831
14/9/18,0.019921399,0.000424348
17/9/18,-0.001129418,-0.00555357
18/9/18,-0.033787828,0.005408453
19/9/18,0.049149859,0.001254433
20/9/18,-0.001705925,0.007885369
21/9/18,0.002366086,-0.000345798
24/9/18,0.001704806,-0.00351427
25/9/18,0.004778425,-0.001232478
26/9/18,0.028599349,-0.003292065
27/9/18,-0.006840205,0.002950006
28/9/18,-0.139021746,3.50E-05
1/10/18,0.172209466,0.003649195
2/10/18,-0.030456211,-0.000361078
3/10/18,-0.019877477,0.000711938
4/10/18,-0.044284859,-0.007936054
5/10/18,-0.070548946,-0.005514593
8/10/18,-0.043491279,-0.000392748
9/10/18,0.048833933,-0.001126319
10/10/18,-0.02253395,-0.032857421
11/10/18,-0.01778626,-0.020569187
12/10/18,0.026346468,0.014313772
15/10/18,0.002423141,-0.005881936
16/10/18,0.065115576,0.021523304
17/10/18,-0.016950355,-0.0002121
18/10/18,-0.028930092,-0.014295813
19/10/18,-0.014858841,-0.000333889
22/10/18,0.003544495,-0.004273432
23/10/18,0.127827459,-0.005461717
24/10/18,-0.018390192,-0.030864073
25/10/18,0.089261472,0.018623128
26/10/18,0.050539042,-0.017326318
29/10/18,0.019160043,-0.006546021
30/10/18,-0.020895175,0.015757108
31/10/18,0.022648912,0.010884578
1/11/18,0.019938383,0.01058455
2/11/18,0.006953152,-0.006227781
5/11/18,-0.01477247,0.005627767
6/11/18,-0.000574482,0.006339016
7/11/18,0.020405817,0.021220271
8/11/18,0.009407391,-0.001984783
9/11/18,-0.002455494,-0.00902773
12/11/18,-0.054881119,-0.019702726
13/11/18,0.022256422,-0.001446785
14/11/18,0.016097279,-0.007308802
15/11/18,0.012537041,0.010920595
16/11/18,0.017278253,0.002296621
19/11/18,-0.002544952,-0.016613465
20/11/18,-0.01719452,-0.01807658
21/11/18,-0.026863818,0.003125405
23/11/18,-0.036072609,-0.006503398
26/11/18,0.061488478,0.015652462
27/11/18,-0.005894689,0.003271289
28/11/18,0.011346143,0.023037686
29/11/18,-0.019111512,-0.001953132
30/11/18,0.026955572,0.008360924
3/12/18,0.023337811,0.010940929
4/12/18,0.00295324,-0.032307827
6/12/18,0.009597034,-0.001208229
7/12/18,-0.014042668,-0.023161466
10/12/18,0.020049302,0.001771422
11/12/18,0.004081413,-0.000306154
12/12/18,-0.000427876,0.005429148
13/12/18,0.028358928,-1.38E-05
14/12/18,-0.029710183,-0.018964888
17/12/18,-0.047243672,-0.020718921
18/12/18,-0.032926212,0.000151739
19/12/18,-0.012105692,-0.015303401
20/12/18,-0.052904442,-0.015748019
21/12/18,0.014804678,-0.020588243
