date,spx_close,spx_ret,spx_tr_close,spx_tr_ret,rf
2009-02-02,735.09,-0.109931225,1188.84,-0.106477967,0.0001
2009-03-02,797.87,0.085404508,1292.98,0.087597995,0.0002
2009-04-01,872.81,0.093925076,1416.73,0.095709137,0.0001
2009-05-01,919.14,0.053081427,1495.97,0.055931617,0.0
2009-06-01,919.32,0.000195835,1498.94,0.001985334,0.0001
2009-07-01,987.48,0.074141757,1612.31,0.075633448,0.0001
2009-08-03,1020.62,0.033560173,1670.52,0.036103479,0.0001
2009-09-01,1057.08,0.035723384,1732.86,0.037317721,0.0001
2009-10-01,1036.19,-0.019761986,1700.67,-0.018576227,0.0
2009-11-02,1095.63,0.057363997,1802.68,0.059982242,0.0
2009-12-01,1115.1,0.017770598,1837.5,0.019315686,0.0001
2010-01-04,1073.87,-0.036974262,1771.4,-0.035972789,0.0
2010-02-01,1104.49,0.028513693,1826.27,0.0309755,0.0
2010-03-01,1169.43,0.058796368,1936.48,0.060347046,0.0001
2010-04-01,1186.69,0.014759327,1967.05,0.015786375,0.0001
2010-05-03,1089.41,-0.081975916,1809.98,-0.079850538,0.0001
2010-06-01,1030.71,-0.053882377,1715.23,-0.052348645,0.0001
2010-07-01,1101.6,0.068777833,1835.4,0.070060575,0.0001
2010-08-02,1049.33,-0.047449165,1752.55,-0.045140024,0.0001
2010-09-01,1141.2,0.087551104,1908.95,0.089241391,0.0001
2010-10-01,1183.26,0.036855941,1981.59,0.038052332,0.0001
2010-11-01,1180.55,-0.002290283,1981.84,0.000126161,0.0001
2010-12-01,1257.64,0.065300072,2114.29,0.066831833,0.0001
2011-01-03,1286.12,0.02264559,2164.4,0.023700628,0.0001
2011-02-01,1327.22,0.031956583,2238.55,0.034258917,0.0001
2011-03-01,1325.83,-0.001047302,2239.44,0.000397579,0.0001
2011-04-01,1363.61,0.028495358,2305.76,0.029614546,0.0
2011-05-02,1345.2,-0.013500928,2279.66,-0.011319478,0.0
2011-06-01,1320.64,-0.018257508,2241.66,-0.016669152,0.0
2011-07-01,1292.28,-0.021474437,2196.08,-0.020333146,0.0
2011-08-01,1218.89,-0.056791098,2076.78,-0.054324068,0.0001
2011-09-01,1131.42,-0.071762013,1930.79,-0.070296324,0.0
2011-10-03,1253.3,0.107723038,2141.81,0.109292051,0.0
2011-11-01,1246.96,-0.005058645,2137.08,-0.002208413,0.0
2011-12-01,1257.6,0.008532752,2158.94,0.01022891,0.0
2012-01-03,1312.41,0.043583015,2255.69,0.044813659,0.0
2012-02-01,1365.68,0.04058945,2353.23,0.043241758,0.0
2012-03-01,1408.47,0.031332377,2430.67,0.032907961,0.0
2012-04-02,1397.91,-0.007497497,2415.42,-0.00627399,0.0
2012-05-01,1310.33,-0.062650671,2270.25,-0.060101349,0.0001
2012-06-01,1362.16,0.039554921,2363.79,0.041202511,0.0
2012-07-02,1379.32,0.012597639,2396.62,0.013888713,0.0
2012-08-01,1406.58,0.019763362,2450.6,0.022523387,0.0001
2012-09-04,1440.67,0.02423609,2513.93,0.025842651,0.0001
2012-10-01,1412.16,-0.019789404,2467.51,-0.018465112,0.0001
2012-11-01,1416.18,0.002846703,2481.82,0.005799369,0.0001
2012-12-03,1426.19,0.007068311,2504.44,0.009114279,0.0001
